Ticker,close_x,date,high,low,month,open_x,volume,year,daily_return,cumulative_return,first_open,last_close,yearly_return,volatility,open_y,close_y,monthly_return
SBIN,602.95,2023-10-03 05:30:00,604.9,589.6,2023-10,596.6,15322196,2023,0.0,0.0,596.6,642.05,7.6181696278913735,0.017939344821740196,596.6,565.55,-5.204492122024818
BAJFINANCE,7967.6,2023-10-03 05:30:00,7975.5,7755.0,2023-10,7780.8,944555,2023,0.0,0.0,7780.8,7327.75,-5.822666049763522,0.01591849489773447,7780.8,7492.65,-3.7033466995681747
TITAN,3196.25,2023-10-03 05:30:00,3212.5,3114.4,2023-10,3148.8,1007308,2023,0.0,0.0,3148.8,3675.45,16.72541920731706,0.014135893038630176,3148.8,3189.65,1.2973196138211354
ITC,439.75,2023-10-03 05:30:00,442.9,439.25,2023-10,441.0,7481883,2023,0.0,0.0,441.0,462.1,4.784580498866219,0.011943702458319614,441.0,428.4,-2.857142857142862
TCS,3513.85,2023-10-03 05:30:00,3534.2,3480.1,2023-10,3534.2,1948148,2023,0.0,0.0,3534.2,3793.4,7.334050138645246,0.013161771587106071,3534.2,3368.75,-4.68139890215607
LT,3073.25,2023-10-03 05:30:00,3077.45,2995.1,2023-10,3040.5,3254492,2023,0.0,0.0,3040.5,3526.0,15.967768459135009,0.01696390415004649,3040.5,2929.05,-3.665515540207197
TATACONSUM,861.2,2023-10-03 05:30:00,868.75,853.49,2023-10,859.32,1168848,2023,0.0,0.0,859.32,1073.46,24.919703951962013,0.0148047736681353,859.32,889.44,3.5050970534841506
RELIANCE,1159.08,2023-10-03 05:30:00,1167.8,1158.0,2023-10,1164.97,8859056,2023,0.0,0.0,1164.97,1292.47,10.944487840888605,0.013562067130073357,1164.97,1143.95,-1.8043383091410063
HCLTECH,1238.7,2023-10-03 05:30:00,1256.7,1222.7,2023-10,1232.5,2162636,2023,0.0,0.0,1232.5,1466.1,18.953346855983767,0.014294650681131723,1232.5,1276.0,3.5294117647058822
JSWSTEEL,770.25,2023-10-03 05:30:00,776.55,768.0,2023-10,776.55,1099773,2023,0.0,0.0,776.55,880.25,13.353937286716896,0.016383932356722215,776.55,736.35,-5.1767432876183035
ULTRACEMCO,8304.9,2023-10-03 05:30:00,8377.0,8221.2,2023-10,8289.0,454402,2023,0.0,0.0,8289.0,10503.0,26.710097719869708,0.01431459670688822,8289.0,8422.25,1.607552177584751
POWERGRID,199.55,2023-10-03 05:30:00,200.0,196.9,2023-10,198.75,10830728,2023,0.0,0.0,198.75,237.2,19.34591194968553,0.018671442296664318,198.75,202.15,1.710691823899374
INFY,1434.0,2023-10-03 05:30:00,1437.0,1420.3,2023-10,1436.05,4181867,2023,0.0,0.0,1436.05,1542.9,7.440548727412008,0.014491913053868204,1436.05,1368.4,-4.710838759096123
TRENT,2059.1,2023-10-03 05:30:00,2086.3,2052.0,2023-10,2074.3,543387,2023,0.0,0.0,2074.3,3054.95,47.27618955792313,0.023073798932652153,2074.3,2154.7,3.876006363592519
BHARTIARTL,925.3,2023-10-03 05:30:00,928.25,916.05,2023-10,918.25,4338272,2023,0.0,0.0,918.25,1032.2,12.409474543969512,0.013624507728829288,918.25,914.4,-0.41927579635175855
TATAMOTORS,620.45,2023-10-03 05:30:00,632.65,618.6,2023-10,632.6,6894577,2023,0.0,0.0,632.6,779.95,23.292760037938667,0.01787650515641716,632.6,628.65,-0.6244072083465136
WIPRO,405.45,2023-10-03 05:30:00,408.1,403.6,2023-10,406.45,2864052,2023,0.0,0.0,406.45,471.3,15.955222044531927,0.017467886281905282,406.45,381.8,-6.06470660597859
TECHM,1216.2,2023-10-03 05:30:00,1230.7,1212.55,2023-10,1220.6,1622290,2023,0.0,0.0,1220.6,1272.65,4.264296247747025,0.016019868874918946,1220.6,1133.15,-7.16450925774208
NTPC,241.2,2023-10-03 05:30:00,246.7,240.55,2023-10,244.35,14885044,2023,0.0,0.0,244.35,311.15,27.3378350726417,0.019475011701296695,244.35,235.8,-3.499079189686918
HINDUNILVR,2468.9,2023-10-03 05:30:00,2499.0,2461.8,2023-10,2490.0,1585626,2023,0.0,0.0,2490.0,2663.95,6.985943775100395,0.012073895796063713,2490.0,2484.0,-0.24096385542168677
APOLLOHOSP,5118.95,2023-10-03 05:30:00,5154.95,5066.0,2023-10,5138.95,268482,2023,0.0,0.0,5138.95,5704.1,10.99738273382696,0.014134574705070773,5138.95,4819.9,-6.208466710125613
M&M,1537.4,2023-10-03 05:30:00,1598.0,1533.05,2023-10,1597.2,3436776,2023,0.0,0.0,1597.2,1729.4,8.276984723265718,0.019212772948786868,1597.2,1458.6,-8.677685950413231
GRASIM,1913.84,2023-10-03 05:30:00,1931.32,1899.1,2023-10,1920.46,591326,2023,0.0,0.0,1920.46,2126.35,10.720868958478691,0.01446511381198158,1920.46,1879.23,-2.1468814763129678
